Назва,мiсто/район
з 1 га зібраної площі - ц","Урожайність
з 1 га зібраної площі - % до 2018р."
,
м.Балта,мiсто
м.Білгород-Дністровський,мiсто
м.Біляївка,мiсто
м.Ізмаїл,мiсто
М.Подільськ,мiсто
Ананьївський,район
Арцизький,район
Балтський,район
Білгород-Дністровський,район
Біляївський,район
Березівський,район
Болградський,район
Великомихайлівський,район
Іванівський,район
Ізмаїльський,район
Кілійський,район
Кодимський,район
Лиманський,район
Подільський,район
Окнянський,район
Любашівський,район
Миколаївський,район
Овідіопольський,район
Роздільнянський,район
Ренійський,район
Савранський,район
Саратський,район
Тарутинський,район
Татарбунарський,район
Захарівський,район
Ширяївський,район
